,City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
1107,988698,Knysna,81,ZA,1579997943,93,-34.04,23.05,18.0,5.7
1019,990930,Kimberley,9,ZA,1579998197,69,-28.73,24.76,23.0,6.7
96,1004109,Fochville,28,ZA,1579998143,72,-26.49,27.49,15.56,3.18
234,1006984,East London,0,ZA,1579998161,80,-33.02,27.91,24.21,6.73
17,1015776,Bredasdorp,31,ZA,1579997776,63,-34.53,20.04,18.0,5.7
125,1026014,Tete,3,MZ,1579998147,98,-16.16,33.59,20.59,1.15
1469,1028434,Quelimane,16,MZ,1579998985,93,-17.88,36.89,22.58,1.79
1015,1053384,Toamasina,75,MG,1579998197,94,-18.17,49.38,23.0,5.1
1205,1054329,Vangaindrano,77,MG,1579998141,90,-23.35,47.6,19.4,0.72
989,1056899,Sambava,100,MG,1579998573,96,-14.27,50.17,21.77,0.88
1442,1065158,Farafangana,1,MG,1579998953,58,-22.82,47.83,24.92,4.7
1648,1066831,Beroroha,93,MG,1579999193,66,-21.67,45.17,22.67,5.75
873,1106643,Quatre Cocos,40,MU,1579997890,78,-20.21,57.76,25.0,5.7
1350,1106677,Bambous Virieux,40,MU,1579998848,78,-20.34,57.76,25.0,5.7
1665,1140025,Herat,20,AF,1579998882,86,34.5,62.0,1.0,4.0
978,1153035,Kathu,20,TH,1579997926,88,7.92,98.33,22.0,3.72
1082,1161724,Chabahar,21,IR,1579998032,73,25.29,60.64,19.27,2.45
1667,1166066,Sarai Naurang,12,PK,1579999215,42,32.83,70.78,8.76,0.31
223,1168700,Ormara,0,PK,1579998159,77,25.21,64.64,22.06,6.98
366,1174872,Karachi,0,PK,1579997974,87,24.91,67.08,15.0,2.85
1372,1177662,Gujranwala,20,PK,1579998873,93,32.16,74.19,8.0,2.1
1364,1180295,Dera Bugti,0,PK,1579998863,60,29.03,69.15,12.59,0.84
1483,1213855,Sibolga,95,ID,1579998383,95,1.74,98.78,22.1,1.27
1308,1214026,Sabang,67,ID,1579998798,65,5.89,95.32,27.88,3.96
523,1214488,Meulaboh,73,ID,1579998209,82,4.14,96.13,27.33,2.92
866,1218420,Seydi,45,TM,1579998172,81,39.48,62.91,-2.53,0.6
1175,1235000,Minuwangoda,20,LK,1579998137,83,7.17,79.95,25.0,4.1
562,1237980,Kurunegala,20,LK,1579998214,83,7.49,80.36,25.0,4.1
652,1244926,Hambantota,62,LK,1579998530,73,6.12,81.12,25.62,9.38
1609,1254046,Tura,0,IN,1579999149,78,25.52,90.22,11.3,0.71
1332,1256593,Sheopur,4,IN,1579998827,36,25.67,76.7,12.47,0.47
221,1259385,Port Blair,100,IN,1579998115,71,11.67,92.75,25.5,6.39
